Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Mike Conley,PG,32,UTA,21,21,628,97,263,.369,40,107,.374,57,156,.365,.445,58,73,.795,16,57,73,96,15,4,44,45,292
Pat Connaughton,SG,27,MIL,23,0,399,47,96,.490,18,54,.333,29,42,.690,.583,13,17,.765,11,78,89,42,8,11,13,23,125
Quinn Cook,PG,26,LAL,20,0,267,42,98,.429,12,35,.343,30,63,.476,.490,4,5,.800,4,19,23,30,6,1,16,12,100
Tyler Cook,PF,22,CLE,6,0,17,5,6,.833,0,0,NA,5,6,.833,.833,2,2,1.000,3,2,5,0,1,0,1,1,12
Robert Covington,PF,29,MIN,23,23,642,97,215,.451,48,132,.364,49,83,.590,.563,47,53,.887,17,105,122,26,31,19,36,71,289
Allen Crabbe,SG,27,ATL,13,1,255,28,69,.406,14,44,.318,14,25,.560,.507,7,9,.778,6,26,32,13,8,3,5,11,77
Torrey Craig,SF,29,DEN,16,2,214,18,48,.375,5,22,.227,13,26,.500,.427,4,9,.444,11,26,37,15,5,12,6,28,45
Jae Crowder,SF,29,MEM,24,24,745,84,218,.385,50,154,.325,34,64,.531,.500,37,51,.725,17,127,144,67,24,8,35,51,255
Jarrett Culver,SG,20,MIN,24,14,564,85,224,.379,23,89,.258,62,135,.459,.431,23,53,.434,26,55,81,55,21,12,31,49,216
Seth Curry,SG,29,DAL,22,9,478,67,145,.462,37,90,.411,30,55,.545,.590,31,34,.912,11,36,47,38,14,4,19,40,202
Stephen Curry,PG,31,GSW,4,4,112,27,66,.409,9,37,.243,18,29,.621,.477,18,18,1.000,4,16,20,26,5,2,15,10,81
Troy Daniels,SG,28,LAL,20,0,278,34,92,.370,24,69,.348,10,23,.435,.500,4,7,.571,4,24,28,7,7,1,6,14,96
Anthony Davis,PF,26,LAL,24,24,827,228,458,.498,26,79,.329,202,379,.533,.526,170,196,.867,60,160,220,81,37,63,54,55,652
Ed Davis,C,30,UTA,13,0,159,10,21,.476,0,0,NA,10,21,.476,.476,3,7,.429,15,42,57,6,5,7,9,31,23
Terence Davis,SG,22,TOR,24,0,375,58,121,.479,27,65,.415,31,56,.554,.591,16,17,.941,14,56,70,44,11,6,20,43,159
Dewayne Dedmon,C,30,SAC,21,4,305,42,103,.408,11,48,.229,31,55,.564,.461,11,13,.846,26,59,85,8,9,11,31,55,106
Matthew Dellavedova,PG,29,CLE,23,0,306,19,68,.279,4,39,.103,15,29,.517,.309,15,16,.938,7,25,32,53,9,1,16,35,57
DeMar DeRozan,SF,30,SAS,24,24,826,197,389,.506,5,14,.357,192,375,.512,.513,114,142,.803,13,121,134,115,24,11,60,69,513
Cheick Diallo,C,23,PHO,17,0,174,41,59,.695,1,1,1.000,40,58,.690,.703,15,17,.882,14,38,52,9,2,4,8,20,98
Hamidou Diallo,SF,21,OKC,12,1,256,46,92,.500,2,13,.154,44,79,.557,.511,11,18,.611,14,32,46,10,18,4,14,29,105
Gorgui Dieng,C,30,MIN,20,2,249,34,81,.420,8,28,.286,26,53,.491,.469,12,16,.750,17,61,78,21,13,20,14,29,88
Spencer Dinwiddie,SG,26,BRK,24,13,716,164,382,.429,45,147,.306,119,235,.506,.488,125,149,.839,5,67,72,148,21,11,65,83,498
Donte DiVincenzo,SG,23,MIL,22,10,465,70,164,.427,29,82,.354,41,82,.500,.515,20,26,.769,18,73,91,35,32,3,26,36,189
Luka Dončić,PG,20,DAL,24,24,803,236,490,.482,76,232,.328,160,258,.620,.559,182,227,.802,32,206,238,222,30,3,108,57,730
Luguentz Dort,SG,20,OKC,4,0,69,5,15,.333,0,8,.000,5,7,.714,.333,3,5,.600,0,6,6,1,2,0,2,12,13
Damyean Dotson,SG,25,NYK,21,0,336,47,118,.398,21,70,.300,26,48,.542,.487,10,14,.714,4,32,36,22,9,4,11,20,125
Sekou Doumbouya,SF,19,DET,4,0,11,3,6,.500,0,1,.000,3,5,.600,.500,0,1,.000,0,2,2,0,0,0,0,3,6
Goran Dragić,PG,33,MIA,18,1,517,97,208,.466,39,96,.406,58,112,.518,.560,54,76,.711,6,52,58,90,12,4,47,32,287
Andre Drummond,C,26,DET,25,25,845,185,339,.546,0,13,.000,185,326,.567,.546,72,114,.632,115,301,416,73,43,46,89,96,442
Jared Dudley,SF,34,LAL,16,0,122,8,16,.500,8,12,.667,0,4,.000,.750,2,2,1.000,2,12,14,9,5,1,2,11,26
Kris Dunn,PG,25,CHI,26,7,565,76,180,.422,11,60,.183,65,120,.542,.453,14,19,.737,14,69,83,75,51,8,27,91,177
Carsen Edwards,SG,21,BOS,21,0,236,27,84,.321,17,51,.333,10,33,.303,.423,11,13,.846,5,31,36,17,7,2,12,22,82
Henry Ellenson,PF,23,BRK,1,0,3,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0
Wayne Ellington,SG,32,NYK,18,1,257,26,81,.321,21,69,.304,5,12,.417,.451,4,6,.667,1,28,29,16,5,2,12,20,77
Joel Embiid,C,25,PHI,21,21,644,153,329,.465,23,73,.315,130,256,.508,.500,148,182,.813,52,208,260,68,19,28,70,72,477
James Ennis,SF,29,PHI,26,0,457,64,130,.492,23,57,.404,41,73,.562,.581,36,46,.783,28,59,87,22,14,7,17,50,187
Drew Eubanks,PF,22,SAS,4,0,31,5,10,.500,0,0,NA,5,10,.500,.500,1,1,1.000,5,8,13,2,0,1,4,4,11
Jacob Evans,SG,22,GSW,5,0,60,6,18,.333,4,8,.500,2,10,.200,.444,4,4,1.000,1,5,6,3,0,0,2,7,20
Dante Exum,SG,24,UTA,11,0,83,10,23,.435,2,6,.333,8,17,.471,.478,2,2,1.000,3,9,12,7,1,2,10,8,24
Tacko Fall,C,24,BOS,1,0,4,2,4,.500,0,0,NA,2,4,.500,.500,0,0,NA,0,3,3,0,0,0,1,2,4
Derrick Favors,C,28,NOP,9,7,189,36,58,.621,1,2,.500,35,56,.625,.629,2,6,.333,31,49,80,19,5,4,14,21,75
Terrance Ferguson,SF,21,OKC,19,19,497,39,92,.424,23,65,.354,16,27,.593,.549,7,9,.778,11,25,36,19,10,6,14,57,108
Bruno Fernando,C,21,ATL,25,0,296,41,77,.532,4,16,.250,37,61,.607,.558,16,25,.640,28,45,73,27,6,9,23,39,102
Yogi Ferrell,PG,26,SAC,20,0,280,42,93,.452,9,31,.290,33,62,.532,.500,27,31,.871,4,22,26,35,10,1,14,17,120
Dorian Finney-Smith,PF,26,DAL,24,21,649,75,160,.469,30,89,.337,45,71,.634,.563,24,34,.706,45,76,121,28,14,10,24,44,204
Bryn Forbes,SG,26,SAS,24,24,636,106,257,.412,55,155,.355,51,102,.500,.519,31,37,.838,7,52,59,47,12,0,17,46,298
Evan Fournier,SG,27,ORL,24,24,741,166,346,.480,67,152,.441,99,194,.510,.577,79,94,.840,4,66,70,78,22,4,50,54,478
De'Aaron Fox,PG,22,SAC,9,9,288,55,128,.430,10,30,.333,45,98,.459,.469,44,62,.710,5,31,36,63,7,5,37,27,164
Melvin Frazier,SG,23,ORL,4,0,11,1,6,.167,0,1,.000,1,5,.200,.167,0,0,NA,1,0,1,1,0,0,0,1,2
Tim Frazier,PG,29,DET,14,4,140,9,43,.209,3,14,.214,6,29,.207,.244,13,16,.813,4,9,13,40,8,2,12,18,34
Markelle Fultz,PG,21,ORL,23,18,593,113,236,.479,8,38,.211,105,198,.530,.496,42,53,.792,10,53,63,94,29,4,42,49,276
Wenyen Gabriel,PF,22,SAC,7,0,47,5,16,.313,1,8,.125,4,8,.500,.344,5,9,.556,4,4,8,3,2,2,3,6,16
Daniel Gafford,C,21,CHI,17,0,179,34,46,.739,0,0,NA,34,46,.739,.739,10,21,.476,14,15,29,4,1,15,3,29,78
Danilo Gallinari,PF,31,OKC,23,23,702,128,289,.443,63,158,.399,65,131,.496,.552,97,107,.907,12,122,134,49,16,3,34,36,416
Langston Galloway,SG,28,DET,25,6,682,96,216,.444,61,143,.427,35,73,.479,.586,47,52,.904,9,44,53,38,14,8,19,30,300
Darius Garland,PG,20,CLE,25,25,695,102,269,.379,42,115,.365,60,154,.390,.457,23,27,.852,10,36,46,71,16,0,64,34,269
Marc Gasol,C,35,TOR,24,24,693,53,152,.349,28,79,.354,25,73,.342,.441,19,26,.731,21,137,158,87,18,28,33,81,153
Rudy Gay,PF,33,SAS,24,5,554,100,218,.459,21,76,.276,79,142,.556,.507,48,54,.889,31,106,137,46,12,14,40,34,269
