Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jae Crowder,SF,29,MEM,23,23,713,80,207,.386,48,150,.320,32,57,.561,.502,34,46,.739,16,121,137,62,22,8,32,48,242
Jarrett Culver,SG,20,MIN,23,13,543,83,216,.384,23,87,.264,60,129,.465,.438,23,51,.451,24,54,78,54,21,12,31,49,212
Seth Curry,SG,29,DAL,21,9,445,56,130,.431,31,81,.383,25,49,.510,.550,29,31,.935,8,32,40,34,12,4,16,38,172
Stephen Curry,PG,31,GSW,4,4,112,27,66,.409,9,37,.243,18,29,.621,.477,18,18,1.000,4,16,20,26,5,2,15,10,81
Troy Daniels,SG,28,LAL,19,0,271,33,90,.367,23,68,.338,10,22,.455,.494,3,4,.750,4,23,27,7,7,1,6,14,92
Anthony Davis,PF,26,LAL,23,23,791,222,438,.507,25,75,.333,197,363,.543,.535,167,192,.870,56,152,208,75,35,61,52,53,636
Ed Davis,C,30,UTA,12,0,147,9,20,.450,0,0,NA,9,20,.450,.450,3,6,.500,14,40,54,5,5,6,9,28,21
Terence Davis,SG,22,TOR,23,0,360,55,113,.487,25,60,.417,30,53,.566,.597,14,15,.933,14,54,68,43,10,6,18,42,149
Dewayne Dedmon,C,30,SAC,21,4,305,42,103,.408,11,48,.229,31,55,.564,.461,11,13,.846,26,59,85,8,9,11,31,55,106
Matthew Dellavedova,PG,29,CLE,21,0,275,18,65,.277,4,37,.108,14,28,.500,.308,12,13,.923,6,23,29,46,8,1,15,30,52
DeMar DeRozan,SF,30,SAS,23,23,787,189,372,.508,5,14,.357,184,358,.514,.515,109,134,.813,12,118,130,111,22,11,59,66,492
Cheick Diallo,C,23,PHO,17,0,174,41,59,.695,1,1,1.000,40,58,.690,.703,15,17,.882,14,38,52,9,2,4,8,20,98
Hamidou Diallo,SF,21,OKC,12,1,256,46,92,.500,2,13,.154,44,79,.557,.511,11,18,.611,14,32,46,10,18,4,14,29,105
Gorgui Dieng,C,30,MIN,19,2,237,34,79,.430,8,27,.296,26,52,.500,.481,12,16,.750,16,60,76,20,13,20,13,26,88
Spencer Dinwiddie,SG,26,BRK,23,12,684,156,366,.426,43,138,.312,113,228,.496,.485,119,140,.850,5,62,67,142,20,11,62,79,474
Donte DiVincenzo,SG,23,MIL,21,10,441,69,160,.431,28,79,.354,41,81,.506,.519,20,26,.769,18,70,88,32,32,3,23,35,186
Luka Dončić,PG,20,DAL,23,23,769,222,466,.476,70,219,.320,152,247,.615,.552,175,215,.814,31,195,226,211,30,3,105,55,689
Luguentz Dort,SG,20,OKC,3,0,56,4,11,.364,0,6,.000,4,5,.800,.364,3,5,.600,0,6,6,0,1,0,2,10,11
Damyean Dotson,SG,25,NYK,20,0,320,47,115,.409,21,68,.309,26,47,.553,.500,10,13,.769,4,30,34,19,9,4,11,18,125
Sekou Doumbouya,SF,19,DET,4,0,11,3,6,.500,0,1,.000,3,5,.600,.500,0,1,.000,0,2,2,0,0,0,0,3,6
Goran Dragić,PG,33,MIA,18,1,517,97,208,.466,39,96,.406,58,112,.518,.560,54,76,.711,6,52,58,90,12,4,47,32,287
Andre Drummond,C,26,DET,24,24,811,175,325,.538,0,12,.000,175,313,.559,.538,69,108,.639,113,288,401,72,40,45,87,92,419
Jared Dudley,SF,34,LAL,15,0,100,5,11,.455,5,8,.625,0,3,.000,.682,2,2,1.000,2,10,12,9,5,1,2,8,17
Kris Dunn,PG,25,CHI,25,6,542,72,171,.421,11,57,.193,61,114,.535,.453,13,18,.722,14,66,80,73,48,7,26,89,168
Carsen Edwards,SG,21,BOS,20,0,228,26,82,.317,16,49,.327,10,33,.303,.415,11,13,.846,5,30,35,17,7,2,12,22,79
Henry Ellenson,PF,23,BRK,1,0,3,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0
Wayne Ellington,SG,32,NYK,18,1,257,26,81,.321,21,69,.304,5,12,.417,.451,4,6,.667,1,28,29,16,5,2,12,20,77
Joel Embiid,C,25,PHI,20,20,608,141,308,.458,21,70,.300,120,238,.504,.492,136,168,.810,50,197,247,62,19,27,68,69,439
James Ennis,SF,29,PHI,25,0,438,63,126,.500,23,55,.418,40,71,.563,.591,36,46,.783,28,58,86,22,13,7,15,48,185
Drew Eubanks,PF,22,SAS,4,0,31,5,10,.500,0,0,NA,5,10,.500,.500,1,1,1.000,5,8,13,2,0,1,4,4,11
Jacob Evans,SG,22,GSW,4,0,54,6,16,.375,4,8,.500,2,8,.250,.500,4,4,1.000,1,5,6,3,0,0,2,4,20
Dante Exum,SG,24,UTA,11,0,83,10,23,.435,2,6,.333,8,17,.471,.478,2,2,1.000,3,9,12,7,1,2,10,8,24
Tacko Fall,C,24,BOS,1,0,4,2,4,.500,0,0,NA,2,4,.500,.500,0,0,NA,0,3,3,0,0,0,1,2,4
Derrick Favors,C,28,NOP,9,7,189,36,58,.621,1,2,.500,35,56,.625,.629,2,6,.333,31,49,80,19,5,4,14,21,75
Terrance Ferguson,SF,21,OKC,19,19,497,39,92,.424,23,65,.354,16,27,.593,.549,7,9,.778,11,25,36,19,10,6,14,57,108
Bruno Fernando,C,21,ATL,24,0,283,40,74,.541,4,16,.250,36,58,.621,.568,13,22,.591,27,42,69,25,5,9,22,37,97
Yogi Ferrell,PG,26,SAC,19,0,265,40,89,.449,9,30,.300,31,59,.525,.500,25,29,.862,4,21,25,35,8,1,13,17,114
