Player,Control,Defense,Impact,Offense,Scoring
Carsen Edwards,1.4166666666666667,115.7810872848268,0.010148154524593429,91.21349284910787,0.36639923194823193
Henry Ellenson,0.0,118.01938825824044,0.0,0.0,0.0
Wayne Ellington,1.3333333333333333,116.67582653561901,0.009828843004284594,90.5479052881718,0.34009546571434857
Joel Embiid,0.875,103.17894975222016,0.08569773866070976,108.93608722219152,0.5058684670543322
James Ennis,1.4666666666666666,109.8321733994676,0.033159426516958045,124.13623276272575,0.5462779924249238
Drew Eubanks,0.5,109.2250056425631,0.002436978777294864,94.80471421046626,0.45281465400917525
Jacob Evans,1.5,113.84463233205163,0.0028109107441160177,111.12236064956606,0.4318044566944693
Dante Exum,0.7,111.15239388839963,0.002887199252757589,81.77773380718811,0.3648040420247912
Tacko Fall,0.0,99.2631545824311,0.00045609683256599674,63.98968408273834,0.3199484204136917
Derrick Favors,1.3571428571428572,104.37707498560076,0.023661423238501796,120.61574318557295,0.5732400528654261
Terrance Ferguson,1.3571428571428572,116.32022587050157,0.010102473703623074,106.38496505893373,0.4293157217096572
Bruno Fernando,1.1428571428571428,110.53482507172647,0.01996256827449429,109.26369651038198,0.5220147582264566
Yogi Ferrell,2.6923076923076925,116.47572849942716,0.023073063004259008,114.05403648571654,0.5100775478192925
Dorian Finney-Smith,1.0416666666666667,111.87270557434441,0.037734287056752844,116.47178689860559,0.5048151852946728
Bryn Forbes,2.875,114.29701553110729,0.043311759178285995,112.73536686805453,0.46278008627437023
Evan Fournier,1.553191489361702,116.4473157413966,0.07866942049919147,116.04143965347994,0.49571593684141824
De'Aaron Fox,1.7027027027027026,115.3419644472124,0.02721438200502345,100.94699676721957,0.46995256831314397
Melvin Frazier,2.0,123.00087084416778,-0.000580157968283123,57.15337819797145,0.27331030494220443
Tim Frazier,3.1666666666666665,109.30782754705824,0.005335943192612993,88.65112491527053,0.39172482420287286
Markelle Fultz,2.238095238095238,114.36380302320794,0.0543027858313003,105.1074349714248,0.4981187608819564
Wenyen Gabriel,1.0,112.40413843230222,0.0009465872001747288,87.76093427895086,0.42257578920187305
Daniel Gafford,1.0,108.23343356180897,0.013724019370695334,141.49563012744608,0.716933336134745
Danilo Gallinari,1.4838709677419355,113.14860088008808,0.08093330056947474,119.70143559843008,0.4959919052727702
Langston Galloway,1.9473684210526316,113.78606645213453,0.050691460329823426,122.87685714131739,0.48635021062403255
Darius Garland,1.1403508771929824,116.7402995645979,0.028372993106704672,87.99734764030046,0.3746587417759734
Marc Gasol,2.6129032258064515,109.22442575589066,0.040300177497400586,100.54592626643046,0.41591555343550096
Rudy Gay,1.1578947368421053,109.57011782502535,0.05538588130215601,107.44371314004458,0.48512125693478053
Paul George,1.0416666666666667,102.60424216541324,0.057727329811348704,112.6647233391957,0.460086917335967
Taj Gibson,1.7857142857142858,112.39504253140997,0.028848292454134002,115.60974177426112,0.5566302875735436
Harry Giles,1.0,111.89461629036916,0.0014198808002620935,89.31098182843981,0.42802127051643973
Shai Gilgeous-Alexander,1.4081632653061225,113.20492281143997,0.07310104567565462,102.63362491647612,0.4677285064508881
Rudy Gobert,0.6122448979591837,103.22325581964601,0.09735635880298589,123.04409235328578,0.612907511204228
Brandon Goodwin,0.0,118.4407077477419,-0.0009505984892616326,0.0,0.0
Aaron Gordon,2.0357142857142856,114.46071849283251,0.05650738611077618,106.55317002652973,0.4854287257062287
Eric Gordon,0.5833333333333334,112.32280634625104,0.0027524505756774905,84.40557080158125,0.3380352185732684
Devonte' Graham,2.5194805194805197,112.46180781778743,0.0916911708794347,113.38384219840859,0.4657546802783136
Treveon Graham,1.7692307692307692,111.10889440408032,0.016345977827055613,96.38289911328644,0.4287898191311592
Jerami Grant,1.1666666666666667,118.16394263990954,0.03316731360751281,104.05631203265932,0.46393088785849873
Josh Gray,0.4,114.19287023747027,-0.000339637654141174,47.15158972590565,0.21852982286549774
Danny Green,1.2608695652173914,107.45286425807944,0.03522932198517987,108.75928551621121,0.42737679400255685
Draymond Green,2.4054054054054053,103.97628521348454,0.04205122473197564,98.82153521268685,0.453722621124511
JaMychal Green,0.5,103.37353709223032,0.03512906155495803,111.5116260130198,0.44680938015096794
Javonte Green,1.3333333333333333,115.29948367517615,0.008779864026895439,118.69465297956376,0.5597271590667018
Jeff Green,0.6,109.86770499103096,0.02702418500581103,101.64747717670846,0.43125422966044075
Blake Griffin,1.1818181818181819,112.48792151399614,0.032460321088395715,101.99007041443879,0.4559018426268112
Marko Guduric,1.375,112.36810029258841,0.019638147992945693,93.73051025092448,0.40189272031145146
Rui Hachimura,2.0,111.65695976788199,0.05921378626387779,110.60112957214282,0.5208133629915009
Devon Hall,3.0,119.51944369124743,0.0004540437619605876,85.5964813768589,0.41471887845762967
Tim Hardaway,3.4166666666666665,113.57009557521658,0.04358044420639061,120.43493852585537,0.4918863993574736
James Harden,1.4700854700854702,106.10985041031454,0.14962321329382838,121.22598400246524,0.5125776301282134
Maurice Harkless,1.3333333333333333,103.79891744579835,0.02452608261001643,108.60607617210614,0.4945039581511471
Jared Harper,0.0,118.63843688120552,-0.000219961282064884,0.0,0.0
Montrezl Harrell,1.2439024390243902,103.98782720217224,0.09360609694827234,122.14360650911884,0.6091879487135043
Gary Harris,1.95,118.45753337422778,0.03732808771598215,101.97409099461721,0.43972115988187715
